Відстань (м) | Висота (м)
        0.00 |    1263.00
      123.85 |    1285.00
      213.45 |    1285.00
      323.50 |    1332.00
      418.87 |    1308.00
      517.41 |    1317.00
      587.78 |    1317.00
      771.72 |    1339.00
      932.77 |    1375.00
     1118.27 |    1417.00
     1370.81 |    1487.00
     1610.05 |    1524.00
     1821.16 |    1553.00
     1997.39 |    1629.00
     2149.88 |    1756.00
     2320.63 |    1794.00
     2508.86 |    1828.00
     2713.03 |    1886.00
     2904.98 |    1976.00
     3020.67 |    1976.00
     3069.34 |    2030.00
